MMWR_WEEK,MMWR_YEAR,INF_A,INF_B,INF_ALL,Name,MapDate,DSCI,flu_searches
2,2001,727,359,1086,CONUS,2001-01-09,54,NA
3,2001,805,477,1282,CONUS,2001-01-16,52,NA
4,2001,702,508,1210,CONUS,2001-01-23,63,NA
5,2001,469,546,1015,CONUS,2001-01-30,57,NA
6,2001,278,435,713,CONUS,2001-02-06,57,NA
7,2001,199,413,612,CONUS,2001-02-13,67,NA
8,2001,118,350,468,CONUS,2001-02-20,64,NA
9,2001,75,181,256,CONUS,2001-02-27,65,NA
10,2001,46,146,192,CONUS,2001-03-06,62,NA
11,2001,27,148,175,CONUS,2001-03-13,67,NA
12,2001,26,94,120,CONUS,2001-03-20,68,NA
13,2001,10,67,77,CONUS,2001-03-27,71,NA
14,2001,8,37,45,CONUS,2001-04-03,70,NA
15,2001,3,42,45,CONUS,2001-04-10,68,NA
16,2001,0,20,20,CONUS,2001-04-17,68,NA
17,2001,1,8,9,CONUS,2001-04-24,69,NA
18,2001,1,5,6,CONUS,2001-05-01,74,NA
19,2001,0,9,9,CONUS,2001-05-08,91,NA
39,2001,7,1,8,CONUS,2001-09-25,101,NA
40,2001,5,0,5,CONUS,2001-10-02,101,NA
41,2001,8,0,8,CONUS,2001-10-09,106,NA
42,2001,17,0,17,CONUS,2001-10-16,104,NA
43,2001,13,0,13,CONUS,2001-10-23,113,NA
44,2001,13,0,13,CONUS,2001-10-30,122,NA
45,2001,45,1,46,CONUS,2001-11-06,129,NA
46,2001,30,3,33,CONUS,2001-11-13,135,NA
47,2001,73,1,74,CONUS,2001-11-20,136,NA
48,2001,78,5,83,CONUS,2001-11-27,129,NA
49,2001,110,2,112,CONUS,2001-12-04,128,NA
50,2001,165,4,169,CONUS,2001-12-11,122,NA
51,2001,219,1,220,CONUS,2001-12-18,122,NA
52,2001,342,2,344,CONUS,2001-12-25,120,NA
1,2002,534,6,540,CONUS,2002-01-01,122,NA
2,2002,922,5,927,CONUS,2002-01-08,116,NA
3,2002,1231,12,1243,CONUS,2002-01-15,114,NA
4,2002,1450,24,1474,CONUS,2002-01-22,113,NA
5,2002,1620,19,1639,CONUS,2002-01-29,112,NA
6,2002,1779,28,1807,CONUS,2002-02-05,112,NA
7,2002,1765,68,1833,CONUS,2002-02-12,114,NA
8,2002,1339,86,1425,CONUS,2002-02-19,118,NA
9,2002,1001,136,1137,CONUS,2002-02-26,124,NA
10,2002,637,166,803,CONUS,2002-03-05,124,NA
11,2002,359,210,569,CONUS,2002-03-12,139,NA
12,2002,174,284,458,CONUS,2002-03-19,133,NA
13,2002,95,235,330,CONUS,2002-03-26,137,NA
14,2002,61,192,253,CONUS,2002-04-02,135,NA
15,2002,36,226,262,CONUS,2002-04-09,137,NA
16,2002,18,138,156,CONUS,2002-04-16,138,NA
17,2002,19,149,168,CONUS,2002-04-23,144,NA
18,2002,5,140,145,CONUS,2002-04-30,147,NA
19,2002,2,86,88,CONUS,2002-05-07,151,NA
20,2002,3,61,64,CONUS,2002-05-14,157,NA
21,2002,2,34,36,CONUS,2002-05-21,152,NA
22,2002,1,25,26,CONUS,2002-05-28,158,NA
23,2002,0,7,7,CONUS,2002-06-04,157,NA
24,2002,0,2,2,CONUS,2002-06-11,156,NA
25,2002,0,4,4,CONUS,2002-06-18,160,NA
26,2002,0,2,2,CONUS,2002-06-25,167,NA
27,2002,0,1,1,CONUS,2002-07-02,172,NA
28,2002,0,0,0,CONUS,2002-07-09,171,NA
29,2002,1,1,2,CONUS,2002-07-16,175,NA
30,2002,0,0,0,CONUS,2002-07-23,188,NA
31,2002,0,0,0,CONUS,2002-07-30,185,NA
32,2002,0,0,0,CONUS,2002-08-06,185,NA
33,2002,0,0,0,CONUS,2002-08-13,185,NA
34,2002,0,1,1,CONUS,2002-08-20,181,NA
35,2002,0,0,0,CONUS,2002-08-27,179,NA
36,2002,0,0,0,CONUS,2002-09-03,182,NA
37,2002,2,1,3,CONUS,2002-09-10,189,NA
38,2002,0,2,2,CONUS,2002-09-17,186,NA
39,2002,0,0,0,CONUS,2002-09-24,179,NA
40,2002,2,1,3,CONUS,2002-10-01,174,NA
41,2002,0,0,0,CONUS,2002-10-08,173,NA
42,2002,4,1,5,CONUS,2002-10-15,166,NA
43,2002,3,3,6,CONUS,2002-10-22,160,NA
